Path | total lines (binary: -) | bytes
.report.md | 2897 | 206782
docs/evidence/issue-539/README.md | 257 | 18463
docs/evidence/issue-539/base-forbidden.log | 1 | 64
docs/evidence/issue-539/base-red.log.gz | - | 469
docs/evidence/issue-539/base-source.log.gz | - | 5156
docs/evidence/issue-539/bazzite-driver.log.gz | - | 268
docs/evidence/issue-539/bazzite-exits.tsv | 64 | 1584
docs/evidence/issue-539/bazzite-forbidden.log | 0 | 0
docs/evidence/issue-539/bazzite-isolation.json.gz | - | 900171
docs/evidence/issue-539/bazzite-proof.py | 77 | 3833
docs/evidence/issue-539/bazzite.log.gz | - | 8285
docs/evidence/issue-539/closeout.json | 44 | 1457
docs/evidence/issue-539/commands.json | 151 | 7159
docs/evidence/issue-539/diff-check.log.gz | - | 35
docs/evidence/issue-539/initial-focused.log.gz | - | 14413
docs/evidence/issue-539/initial-shellcheck.log.gz | - | 457
docs/evidence/issue-539/macos-exits.tsv | 113 | 3032
docs/evidence/issue-539/macos-forbidden.log | 0 | 0
docs/evidence/issue-539/macos-path.log.gz | - | 35
docs/evidence/issue-539/macos.log.gz | - | 15006
docs/evidence/issue-539/proof-driver.log.gz | - | 266
docs/evidence/issue-539/remote-cleanup-readback.log.gz | - | 55
docs/evidence/issue-539/remote-cleanup.log.gz | - | 1082
docs/evidence/issue-539/remote-copy.log.gz | - | 36
docs/evidence/issue-539/remote-create.log.gz | - | 68
docs/evidence/issue-539/remote-extract.log.gz | - | 39
docs/evidence/issue-539/remote-fetch-bazzite-exits.tsv.log.gz | - | 55
docs/evidence/issue-539/remote-fetch-bazzite-forbidden.log.log.gz | - | 59
docs/evidence/issue-539/remote-fetch-suite.log.log.gz | - | 47
docs/evidence/issue-539/remote-marker.log.gz | - | 38
docs/evidence/issue-539/remote-receipt.log.gz | - | 39
docs/evidence/issue-539/run-proof.py | 109 | 6704
docs/evidence/issue-539/scenario-results.json | 1685 | 240346
docs/evidence/issue-539/shellcheck-installer.log.gz | - | 45
docs/evidence/issue-539/shellcheck-suite.log.gz | - | 41
docs/evidence/issue-539/syntax.log.gz | - | 55
docs/evidence/issue-539/tested-scripts.json | 9 | 666
scripts/install-corral.sh | 554 | 18659
scripts/test-install-corral-linux.sh | 762 | 34206
docs/evidence/issue-539/files.txt | 41 | self
